0,0,57,0,165
50,36,57,17,214
100,66,57,17,229
150,89,57,17,204
200,109,57,17,153
250,119,57,17,99
300,127,57,17,66
350,130,57,17,67
400,129,57,17,100
450,128,57,17,142
500,128,57,17,169
550,128,57,17,164
600,128,57,17,131
650,127,57,17,87
700,122,57,17,56
750,117,57,17,59
800,110,57,17,99
850,105,57,17,161
900,105,57,17,216
950,107,57,17,238
1000,112,57,17,219
1050,119,57,17,169
1100,121,57,17,111
1150,123,57,17,72
1200,121,57,17,66
1250,118,57,17,93
1300,115,57,17,136
1350,113,57,17,168
1400,115,57,17,170
1450,116,57,17,141
1500,116,57,17,96
1550,114,57,17,60
1600,110,57,17,55
1650,103,57,17,88
1700,98,57,17,147
1750,94,57,17,205
1800,96,57,17,235
1850,102,57,17,224
1900,111,57,17,179
1950,117,57,17,121
2000,122,57,17,76
2050,122,57,17,63
2100,122,57,17,85
2150,119,57,17,126
2200,116,57,17,161
2250,121,57,17,170
2300,125,57,17,146
2350,125,57,17,104
2400,125,57,17,64
2450,124,57,17,52
2500,120,57,17,77
2550,117,57,17,133
2600,114,57,17,193
2650,115,57,17,229
2700,121,57,17,226
2750,129,57,17,187
2800,136,57,17,130
2850,140,57,17,82
2900,143,57,17,62
2950,141,57,17,78
3000,136,57,17,116
3050,135,57,17,154
3100,132,57,17,169
3150,132,57,17,151
3200,133,57,17,111
3250,133,57,17,69
3300,130,57,17,51
3350,127,57,17,70
3400,123,57,17,121
3450,118,57,17,182
3500,122,57,17,224
3550,126,57,17,229
3600,134,57,17,195
3650,140,57,17,139
3700,144,57,17,88
3750,143,57,17,63
3800,142,57,17,73
3850,138,57,17,109
3900,137,57,17,149
3950,137,57,17,168
4000,137,57,17,156
4050,137,57,17,118
4100,137,57,17,75
4150,134,57,17,52
4200,131,57,17,64
4250,124,57,17,111
4300,119,57,17,172
4350,119,57,17,220
4400,122,57,17,231
4450,127,57,17,203
4500,133,57,17,150
4550,138,57,17,96
4600,138,57,17,65
4650,137,57,17,69
4700,132,57,17,102
4750,131,57,17,143
4800,131,57,17,168
4850,131,57,17,161
4900,131,57,17,126
4950,129,57,17,82
5000,126,57,17,54
5050,123,57,17,59
5100,117,57,17,101
5150,112,57,17,162
5200,112,57,17,214
5250,116,57,17,233
5300,120,57,17,211
5350,127,57,17,160
5400,132,57,17,104
5450,136,57,17,68
5500,135,57,17,65
5550,131,57,17,95
5600,128,57,17,137
5650,126,57,17,166
5700,127,57,17,165
5750,128,57,17,134
5800,127,57,17,90
5850,125,57,17,57
5900,119,57,17,55
5950,114,57,17,91
6000,110,57,17,151
6050,110,57,17,207
6100,111,57,17,233
6150,116,57,17,218
6200,124,57,17,170
6250,130,57,17,114
6300,134,57,17,72
6350,134,57,17,63
6400,133,57,17,88
6450,129,57,17,129
6500,126,57,17,162
6550,125,57,17,167
6600,126,57,17,141
6650,127,57,17,98
6700,127,57,17,61
6750,124,57,17,53
6800,118,57,17,83
6850,113,57,17,140
6900,109,57,17,199
6950,110,57,17,231
7000,115,57,17,223
7050,123,57,17,180
7100,129,57,17,123
7150,133,57,17,77
7200,133,57,17,62
7250,132,57,17,82
7300,129,57,17,122
7350,126,57,17,158
7400,127,57,17,169
7450,128,57,17,147
7500,129,57,17,106
7550,129,57,17,66
7600,121,57,17,51
7650,114,57,17,75
7700,109,57,17,129
7750,105,57,17,189
7800,107,57,17,228
7850,113,57,17,227
7900,121,57,17,189
7950,127,57,17,133
8000,132,57,17,84
8050,132,57,17,62
8100,130,57,17,76
8150,127,57,17,114
8200,125,57,17,153
8250,125,57,17,169
8300,126,57,17,153
8350,127,57,17,113
8400,128,57,17,72
8450,126,57,17,51
8500,119,57,17,68
8550,114,57,17,118
8600,110,57,17,179
8650,110,57,17,224
8700,114,57,17,230
8750,122,57,17,198
8800,128,57,17,143
8850,133,57,17,91
8900,133,57,17,63
8950,133,57,17,71
9000,129,57,17,107
9050,126,57,17,147
9100,124,57,17,169
9150,126,57,17,158
9200,127,57,17,121
9250,128,57,17,78
9300,126,57,17,53
9350,123,57,17,62
9400,117,57,17,107
9450,112,57,17,169
9500,112,57,17,218
9550,116,57,17,232
9600,123,57,17,206
9650,129,57,17,154
9700,133,57,17,99
9750,136,57,17,66
9800,135,57,17,67
9850,131,57,17,99
9900,128,57,17,141
9950,126,57,17,167
10000,127,57,17,162
10050,128,57,17,129
10100,129,57,17,85
10150,126,57,17,55
10200,123,57,17,58
10250,117,57,17,97
10300,115,57,17,158
10350,115,57,17,212
10400,118,57,17,233
10450,124,57,17,213
10500,130,57,17,164
10550,134,57,17,108
10600,134,57,17,69
10650,134,57,17,65
10700,133,57,17,92
10750,132,57,17,134
10800,131,57,17,165
10850,131,57,17,166
10900,131,57,17,136
10950,131,57,17,93
11000,128,57,17,58
11050,125,57,17,54
11100,118,57,17,88
11150,116,57,17,147
11200,115,57,17,204
11250,115,57,17,232
11300,119,57,17,219
11350,126,57,17,174
11400,131,57,17,117
11450,135,57,17,74
11500,135,57,17,63
11550,134,57,17,86
11600,130,57,17,127
11650,127,57,17,161
11700,128,57,17,168
11750,129,57,17,143
11800,129,57,17,100
11850,126,57,17,62
11900,123,57,17,52
11950,117,57,17,80
12000,112,57,17,136
12050,112,57,17,195
12100,112,57,17,230
12150,117,57,17,225
12200,124,57,17,183
12250,130,57,17,127
12300,134,57,17,80
12350,134,57,17,62
12400,133,57,17,80
12450,129,57,17,119
12500,129,57,17,156
12550,129,57,17,169
12600,129,57,17,150
12650,129,57,17,108
12700,126,57,17,68
12750,123,57,17,51
12800,117,57,17,72
12850,112,57,17,125
12900,109,57,17,186
12950,110,57,17,227
13000,114,57,17,228
13050,122,57,17,193
13100,128,57,17,137
13150,133,57,17,86
13200,133,57,17,63
13250,133,57,17,74
13300,132,57,17,112
13350,129,57,17,151
13400,129,57,17,169
13450,129,57,17,155
13500,129,57,17,116
13550,129,57,17,74
13600,126,57,17,52
13650,122,57,17,66
13700,116,57,17,114
13750,112,57,17,176
13800,112,57,17,222
13850,116,57,17,231
13900,124,57,17,201
13950,130,57,17,147
14000,134,57,17,94
14050,134,57,17,64
14100,134,57,17,70
14150,133,57,17,104
14200,132,57,17,145
14250,131,57,17,168
14300,131,57,17,160
14350,131,57,17,124
14400,129,57,17,80
14450,129,57,17,53
14500,121,57,17,60
14550,114,57,17,104
14600,113,57,17,165
14650,113,57,17,216
14700,116,57,17,233
14750,120,57,17,209
14800,127,57,17,157
14850,132,57,17,102
14900,133,57,17,67
14950,133,57,17,66
15000,132,57,17,97
15050,129,57,17,139
15100,129,57,17,166
15150,129,57,17,164
15200,129,57,17,132
15250,129,57,17,88
15300,126,57,17,56
15350,123,57,17,56
15400,117,57,17,94
15450,112,57,17,154
15500,112,57,17,209
15550,116,57,17,233
15600,120,57,17,216
15650,127,57,17,167
15700,132,57,17,111
15750,136,57,17,71
15800,135,57,17,64
15850,131,57,17,90
15900,128,57,17,132
15950,128,57,17,163
16000,129,57,17,167
16050,129,57,17,139
16100,129,57,17,95
16150,126,57,17,60
16200,120,57,17,53
16250,118,57,17,85
16300,113,57,17,143
16350,109,57,17,201
16400,114,57,17,231
16450,123,57,17,221
16500,130,57,17,177
16550,136,57,17,120
16600,140,57,17,76
16650,138,57,17,62
16700,136,57,17,83
16750,132,57,17,124
16800,129,57,17,159
